TimeStap,How water draw [GPM],Ambient Temp [F],Inlet cold water Temp [F],Tank Temp [F],Power [W],EWH_ON_OFF,Energy take [Wh],Energy storage [Wh],Event type
3:40,0.4,71.6,50,112.47679596838626,0,0,1517.9076400767756,7572.663168988637,Shed
3:41,0.4,71.6,50,111.97489983449097,0,0,1578.7412713297258,7511.829537735687,Shed
3:42,0.4,71.6,50,111.47704443014334,0,0,1639.0851354083663,7451.485673657045,Shed
3:43,0.4,71.6,50,110.98319722372139,0,0,1698.9431753928711,7391.62763367254,Shed
3:44,0.4,71.6,50,110.49332594551296,0,0,1758.3193026179522,7332.25150644746,Shed
3:45,0.4,71.6,50,110.00739858560696,0,0,1817.217396928455,7273.353412136957,Shed
3:46,0.4,71.6,50,109.52538339180182,0,0,1875.6413069328685,7214.929502132542,Shed
3:47,0.4,71.6,50,109.04724886753063,0,0,1933.594850254817,7156.975958810594,Shed
3:48,0.4,71.6,50,108.57296376980307,0,0,1991.0818137825088,7099.488995282905,Shed
3:49,0.4,71.6,50,108.1024971071639,0,0,2048.1059539161893,7042.464855149224,Shed
3:50,0.4,71.6,50,107.63581813766783,0,0,2104.670996813599,6985.899812251812,Shed
3:51,0.4,71.6,50,107.17289636687073,0,0,2160.7806386334514,6929.790170431961,Shed
3:52,0.4,71.6,50,106.7137015458371,0,0,2216.4385457769495,6874.132263288463,Shed
3:53,0.4,71.6,50,106.2582036691634,0,0,2271.648355127366,6818.922453938044,Shed
3:54,0.4,71.6,50,105.80637297301739,5560,1,2326.4136742876935,6764.157134777718,Shed
3:55,0.4,71.6,50,106.12270838206364,5560,1,2288.071415149699,6802.499393915713,Shed
3:56,0.4,71.6,50,106.43649699756443,5560,1,2250.0378467725177,6840.532962292892,Shed
3:57,0.4,71.6,50,106.74775932357076,5560,1,2212.3104839091184,6878.260325156293,Shed
3:58,0.4,71.6,50,107.05651569905703,5560,1,2174.8868613210075,6915.683947744404,Shed
3:59,0.4,71.6,50,107.36278629924998,5560,1,2137.764533617155,6952.806275448258,Shed
4:00,0.4,71.6,50,107.66659113694708,5560,1,2100.9410750941934,6989.629733971217,Shed
4:01,0,71.6,50,108.42928279291979,5560,1,2008.4970417061488,7082.073767359263,Shed
4:02,0,71.6,50,109.19193560666838,5560,1,1916.0577162912887,7174.513092774122,Shed
4:03,0,71.6,50,109.95454958017096,5560,1,1823.6230986098494,7266.947710455563,Shed
4:04,0,71.6,50,110.71712471540562,5560,1,1731.1931884220726,7359.377620643338,Shed
4:05,0,71.6,50,111.47966101435028,0,0,1638.767985488217,7451.802823577193,Shed
4:06,0,71.6,50,111.47763003011258,0,0,1639.0141562352164,7451.556652830192,Shed
4:07,0,71.6,50,111.47559914930845,0,0,1639.260314445279,7451.31049462013,Shed
4:08,0,71.6,50,111.47356837193266,0,0,1639.5064601190402,7451.06434894637,Shed
4:09,0,71.6,50,111.47153769797993,0,0,1639.7525932571393,7450.818215808271,Shed
4:10,0,71.6,50,111.46950712744498,0,0,1639.998713860215,7450.572095205196,Shed
4:11,0,71.6,50,111.4674766603226,0,0,1640.2448219289015,7450.325987136511,Shed
4:12,0,71.6,50,111.46544629660747,0,0,1640.4909174638428,7450.079891601567,Shed
4:13,0,71.6,50,111.46341603629435,0,0,1640.737000465673,7449.833808599738,Shed
4:14,0,71.6,50,111.46138587937796,0,0,1640.9830709350324,7449.58773813038,Shed
4:15,0,71.6,50,111.45935582585305,0,0,1641.2291288725569,7449.341680192853,Shed
4:16,0,71.6,50,111.45732587571432,0,0,1641.4751742788908,7449.09563478652,Shed
4:17,0,71.6,50,111.45529602895654,5560,1,1641.721207154666,7448.849601910744,Normal_Operation
4:18,0,71.6,50,112.21779473444467,5560,1,1549.3005608338588,7541.2702482315535,Normal_Operation
4:19,0,71.6,50,112.98025460753523,5560,1,1456.8846212951814,7633.6861877702295,Normal_Operation
4:20,0,71.6,50,113.74267565020584,5560,1,1364.4733882989326,7726.097420766477,Normal_Operation
4:21,0,71.6,50,114.50505786443406,5560,1,1272.0668616054159,7818.503947459994,Normal_Operation
4:22,0,71.6,50,115.26740125219736,5560,1,1179.6650409749486,7910.9057680904625,Normal_Operation
4:23,0,71.6,50,116.02970581547305,5560,1,1087.2679261678638,8003.302882897547,Normal_Operation
4:24,0,71.6,50,116.7919715562384,5560,1,994.8755169445031,8095.695292120906,Normal_Operation
4:25,0,71.6,50,117.55419847647055,5560,1,902.48781306522,8188.08299600019,Normal_Operation
4:26,0,71.6,50,118.31638657814655,5560,1,810.104814290382,8280.465994775028,Normal_Operation
4:27,0,71.6,50,119.07853586324333,5560,1,717.7265203803702,8372.84428868504,Normal_Operation
4:28,0,71.6,50,119.84064633373774,5560,1,625.3529310955761,8465.217877969833,Normal_Operation
4:29,0,71.6,50,120.60271799160651,5560,1,532.9840461964034,8557.586762869007,Normal_Operation
4:30,0,71.6,50,121.36475083882631,5560,1,440.61986544326584,8649.950943622145,Normal_Operation
4:31,0,71.6,50,122.12674487737368,5560,1,348.2603885965912,8742.310420468819,Normal_Operation
4:32,0,71.6,50,122.88870010922503,5560,1,255.9056154168244,8834.665193648589,Normal_Operation
4:33,0,71.6,50,123.65061653635674,5560,1,163.55554566441202,8927.015263400996,Normal_Operation
4:34,0,71.6,50,124.41249416074501,5560,1,71.21017909982314,9019.360629965588,Normal_Operation
4:35,0,71.6,50,125.17433298436603,5560,1,-21.130484516469835,9111.701293581882,Normal_Operation
